==========================================================
   YouTube 专用优选排名（综合速度+延迟+稳定性，第一行最优）
==========================================================

说明：评分综合考虑了下载速度（超过25Mbps不再加分，4K够用）、
连接延迟、以及网络抖动（稳定性），而不是单纯速度越快越靠前。

NO.83 | 评分: 26.9 | 中位速度: 197 KB/s | 最低速度: 118 KB/s | 延迟: 221ms | 抖动: 15ms | IP地址: 217.60.39.139:2053 | 地区: 未知地区
NO.84 | 评分: 26.2 | 中位速度: 184 KB/s | 最低速度: 122 KB/s | 延迟: 210ms | 抖动: 24ms | IP地址: 88.198.240.69:2053 | 地区: 未知地区
NO.85 | 评分: 26.0 | 中位速度: 3.03 MB/s | 最低速度: 1.54 MB/s | 延迟: 590ms | 抖动: 1003ms | IP地址: 82.108.155.108:443 | 地区: 未知地区
NO.86 | 评分: 25.6 | 中位速度: 186 KB/s | 最低速度: 151 KB/s | 延迟: 266ms | 抖动: 2ms | IP地址: 31.59.103.152:8443 | 地区: 未知地区
NO.87 | 评分: 25.1 | 中位速度: 17 KB/s | 最低速度: 9 KB/s | 延迟: 203ms | 抖动: 24ms | IP地址: 46.225.107.73:443 | 地区: 未知地区
NO.88 | 评分: 25.0 | 中位速度: 35 KB/s | 最低速度: 19 KB/s | 延迟: 241ms | 抖动: 6ms | IP地址: 178.104.113.184:8443 | 地区: 未知地区
NO.89 | 评分: 24.7 | 中位速度: 17 KB/s | 最低速度: 12 KB/s | 延迟: 247ms | 抖动: 4ms | IP地址: 91.107.189.32:443 | 地区: 未知地区
NO.90 | 评分: 24.4 | 中位速度: 16 KB/s | 最低速度: 7 KB/s | 延迟: 224ms | 抖动: 17ms | IP地址: 128.140.32.214:8443 | 地区: 未知地区
NO.91 | 评分: 23.9 | 中位速度: 1.56 MB/s | 最低速度: 672 KB/s | 延迟: 171ms | 抖动: 124ms | IP地址: 178.128.220.178:443 | 地区: 未知地区
NO.92 | 评分: 23.9 | 中位速度: 25 KB/s | 最低速度: 11 KB/s | 延迟: 248ms | 抖动: 7ms | IP地址: 49.12.213.163:8443 | 地区: 未知地区
NO.93 | 评分: 23.6 | 中位速度: 13 KB/s | 最低速度: 12 KB/s | 延迟: 259ms | 抖动: 4ms | IP地址: 178.104.145.65:443 | 地区: 未知地区
NO.94 | 评分: 23.3 | 中位速度: 372 KB/s | 最低速度: 267 KB/s | 延迟: 235ms | 抖动: 38ms | IP地址: 217.60.63.211:8443 | 地区: 未知地区
NO.95 | 评分: 22.7 | 中位速度: 25 KB/s | 最低速度: 22 KB/s | 延迟: 269ms | 抖动: 4ms | IP地址: 116.202.14.249:8443 | 地区: 未知地区
NO.96 | 评分: 22.4 | 中位速度: 156 KB/s | 最低速度: 136 KB/s | 延迟: 263ms | 抖动: 18ms | IP地址: 217.60.37.34:443 | 地区: 未知地区
NO.97 | 评分: 22.1 | 中位速度: 22 KB/s | 最低速度: 19 KB/s | 延迟: 245ms | 抖动: 18ms | IP地址: 91.98.33.75:8443 | 地区: 未知地区
NO.98 | 评分: 21.8 | 中位速度: 83 KB/s | 最低速度: 62 KB/s | 延迟: 270ms | 抖动: 11ms | IP地址: 138.199.144.252:8443 | 地区: 未知地区
NO.99 | 评分: 21.1 | 中位速度: 189 KB/s | 最低速度: 138 KB/s | 延迟: 247ms | 抖动: 32ms | IP地址: 31.56.176.44:443 | 地区: 未知地区
NO.100 | 评分: 21.1 | 中位速度: 22 KB/s | 最低速度: 7 KB/s | 延迟: 217ms | 抖动: 37ms | IP地址: 91.99.161.159:443 | 地区: 未知地区
NO.101 | 评分: 19.6 | 中位速度: 150 KB/s | 最低速度: 134 KB/s | 延迟: 126ms | 抖动: 108ms | IP地址: 83.147.13.193:443 | 地区: 未知地区
NO.102 | 评分: 19.1 | 中位速度: 26 KB/s | 最低速度: 26 KB/s | 延迟: 208ms | 抖动: 52ms | IP地址: 135.125.202.69:8443 | 地区: 未知地区
NO.103 | 评分: 18.2 | 中位速度: 215 KB/s | 最低速度: 123 KB/s | 延迟: 243ms | 抖动: 47ms | IP地址: 95.182.88.243:443 | 地区: 未知地区
NO.104 | 评分: 18.1 | 中位速度: 792 KB/s | 最低速度: 241 KB/s | 延迟: 158ms | 抖动: 144ms | IP地址: 159.89.199.63:443 | 地区: 未知地区
NO.105 | 评分: 17.8 | 中位速度: 161 KB/s | 最低速度: 93 KB/s | 延迟: 241ms | 抖动: 48ms | IP地址: 46.8.225.44:443 | 地区: 未知地区
NO.106 | 评分: 17.6 | 中位速度: 782 KB/s | 最低速度: 125 KB/s | 延迟: 144ms | 抖动: 133ms | IP地址: 151.242.189.184:443 | 地区: 未知地区
NO.107 | 评分: 16.8 | 中位速度: 339 KB/s | 最低速度: 223 KB/s | 延迟: 325ms | 抖动: 34ms | IP地址: 142.249.60.51:443 | 地区: 未知地区
NO.108 | 评分: 16.7 | 中位速度: 938 KB/s | 最低速度: 873 KB/s | 延迟: 276ms | 抖动: 131ms | IP地址: 151.242.188.152:443 | 地区: 未知地区
NO.109 | 评分: 16.3 | 中位速度: 28 KB/s | 最低速度: 19 KB/s | 延迟: 140ms | 抖动: 125ms | IP地址: 140.235.38.47:443 | 地区: 未知地区
NO.110 | 评分: 14.7 | 中位速度: 30 KB/s | 最低速度: 11 KB/s | 延迟: 238ms | 抖动: 58ms | IP地址: 57.129.81.233:2053 | 地区: 未知地区
NO.111 | 评分: 13.5 | 中位速度: 156 KB/s | 最低速度: 110 KB/s | 延迟: 1246ms | 抖动: 41ms | IP地址: 217.60.63.206:2053 | 地区: 未知地区
NO.112 | 评分: 8.7 | 中位速度: 196 KB/s | 最低速度: 172 KB/s | 延迟: 265ms | 抖动: 88ms | IP地址: 138.124.70.97:443 | 地区: 未知地区
NO.113 | 评分: 2.9 | 中位速度: 458 KB/s | 最低速度: 175 KB/s | 延迟: 716ms | 抖动: 746ms | IP地址: 78.105.183.11:8443 | 地区: 未知地区
NO.114 | 评分: 2.6 | 中位速度: 162 KB/s | 最低速度: 158 KB/s | 延迟: 566ms | 抖动: 1006ms | IP地址: 103.143.81.178:443 | 地区: 未知地区
NO.115 | 评分: 0.6 | 中位速度: 13 KB/s | 最低速度: 13 KB/s | 延迟: 297ms | 抖动: 231ms | IP地址: 154.64.236.56:443 | 地区: 未知地区
NO.116 | 评分: 0.1 | 中位速度: 31 KB/s | 最低速度: 8 KB/s | 延迟: 384ms | 抖动: 109ms | IP地址: 85.237.207.72:443 | 地区: 未知地区
